gene,trait,p_acat,n_tissues,in_both
FBXO28,DN,0.41260015147869544,1,True
FBXO28,DPN,0.9494851288664399,1,True
FBXO28,DR,0.5767389631633586,1,True
FBXO42,DN,0.3870601013396544,2,True
FBXO42,DPN,0.000798604973033206,2,True
FBXO42,DR,0.2450163449358512,2,True
FBXW4,DN,0.031243313870229925,2,True
FBXW4,DPN,1.0,2,True
FBXW4,DR,0.0048536237719164835,2,True
FCF1,DN,7.262551682246555e-06,2,True
FCF1,DPN,0.005349729316751574,2,True
FCF1,DR,4.755011102013878e-05,2,True
FEM1B,DN,0.8240358690588954,1,False
FEM1B,DPN,0.009130671204042786,1,False
FEM1B,DR,0.06810511200793426,1,False
